,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3
174,173.95,173.06849302617866,-1.0,-1.0,995875.0,-1.0,-1.0,999685.0,-1.0,-1.0,1028475.0
175,172.93,172.71844704812233,-1.0,-1.0,995885.0,-1.0,0.0,999685.0,-1.0,-1.0,1028455.0
176,172.9,173.0981891691737,1.0,1.0,994710.0,1.0,1.0,998510.0,-1.0,-1.0,1027275.0
177,171.19,173.11072732986509,1.0,1.0,994865.0,1.0,0.0,998510.0,-1.0,-1.0,1027750.0
178,172.07,172.81090621678288,1.0,1.0,994105.0,1.0,0.0,998510.0,-1.0,-1.0,1027275.0
179,170.4,170.7867115328925,1.0,1.0,995055.0,1.0,0.0,998510.0,-1.0,-1.0,1028150.0
180,172.41,172.14537830673933,-1.0,-1.0,995210.0,-1.0,-1.0,998665.0,-1.0,-1.0,1028050.0
181,172.5,172.4653803415641,-1.0,-1.0,995960.0,-1.0,0.0,998665.0,-1.0,-1.0,1027500.0
182,170.72,171.89578313172623,1.0,1.0,995600.0,1.0,1.0,998305.0,-1.0,-1.0,1027000.0
183,169.99,171.1491375352174,1.0,1.0,992255.0,1.0,0.0,998305.0,-1.0,-1.0,1023650.0
184,163.3,170.1025609051956,1.0,1.0,992805.0,1.0,0.0,998305.0,-1.0,-1.0,1024200.0
185,164.99,163.4852577273413,-1.0,-1.0,991350.0,-1.0,-1.0,996850.0,-1.0,-1.0,1025950.0
186,167.42,167.80236114273112,1.0,1.0,992050.0,1.0,1.0,997550.0,-1.0,-1.0,1026410.0
187,169.25,168.11066110975412,-1.0,-1.0,991230.0,-1.0,-1.0,996730.0,-1.0,-1.0,1027445.0
188,171.05,168.97755932160803,-1.0,-1.0,992015.0,-1.0,0.0,996730.0,-1.0,-1.0,1026740.0
189,169.9,169.4372660553254,-1.0,-1.0,991985.0,-1.0,0.0,996730.0,-1.0,-1.0,1026980.0
190,170.23,169.67824149466773,-1.0,-1.0,992825.0,-1.0,0.0,996730.0,-1.0,-1.0,1026275.0
191,168.55,169.86762260479838,1.0,1.0,994005.0,1.0,1.0,997910.0,-1.0,-1.0,1027455.0
192,171.04,171.12879825337185,1.0,1.0,994560.0,1.0,0.0,997910.0,-1.0,-1.0,1028075.0
193,172.36,171.0979448097129,-1.0,-1.0,994480.0,-1.0,-1.0,997830.0,-1.0,-1.0,1028260.0
194,173.0,172.31555611425884,-1.0,-1.0,995155.0,-1.0,0.0,997830.0,-1.0,-1.0,1027825.0
195,171.6,171.83283269443345,1.0,1.0,995655.0,1.0,1.0,998330.0,-1.0,-1.0,1028300.0
196,172.7,172.02326968791962,-1.0,-1.0,995685.0,-1.0,-1.0,998360.0,-1.0,-1.0,1028320.0
197,173.08,172.73172080559212,-1.0,-1.0,995255.0,-1.0,0.0,998360.0,-1.0,-1.0,1028970.0
198,174.15,172.86099620084005,-1.0,-1.0,994930.0,-1.0,0.0,998360.0,-1.0,-1.0,1029400.0
199,174.45,174.11650435686076,-1.0,-1.0,993955.0,-1.0,0.0,998360.0,-1.0,-1.0,1030200.0
200,176.49,174.93632321286177,-1.0,-1.0,994250.0,-1.0,0.0,998360.0,-1.0,-1.0,1029950.0
201,175.24,175.2536599380146,1.0,1.0,993880.0,1.0,1.0,997990.0,-1.0,-1.0,1029250.0
202,175.05,175.47815505983613,1.0,1.0,993825.0,1.0,0.0,997990.0,-1.0,-1.0,1029470.0
203,175.1,175.28217865479328,1.0,1.0,992090.0,1.0,0.0,997990.0,-1.0,-1.0,1027815.0
204,171.7,174.97406732733887,1.0,1.0,992140.0,1.0,0.0,997990.0,-1.0,-1.0,1027900.0
205,171.85,171.8115571215118,-1.0,-1.0,992625.0,-1.0,-1.0,998475.0,-1.0,-1.0,1027440.0
206,171.36,171.95151379859854,1.0,1.0,993570.0,1.0,1.0,999420.0,-1.0,-1.0,1028625.0
207,173.53,172.7863445420211,-1.0,-1.0,991425.0,-1.0,-1.0,997275.0,-1.0,-1.0,1030910.0
208,178.0,173.41792924176957,-1.0,-1.0,990455.0,-1.0,0.0,997275.0,-1.0,-1.0,1031970.0
209,180.27,177.91938989856445,-1.0,-1.0,990170.0,-1.0,0.0,997275.0,-1.0,-1.0,1032420.0
210,181.0,180.0279145895123,-1.0,-1.0,991045.0,-1.0,0.0,997275.0,-1.0,-1.0,1031625.0
211,179.34,178.53557280707614,-1.0,-1.0,991190.0,-1.0,0.0,997275.0,-1.0,-1.0,1031525.0
212,179.05,178.96247432099958,-1.0,-1.0,991325.0,-1.0,0.0,997275.0,-1.0,-1.0,1031390.0
213,179.24,179.14896174404097,-1.0,-1.0,990800.0,-1.0,0.0,997275.0,-1.0,-1.0,1032145.0
214,180.33,179.62923716422745,-1.0,-1.0,990965.0,-1.0,0.0,997275.0,-1.0,-1.0,1032000.0
215,179.8,179.95735050267305,1.0,1.0,990845.0,1.0,1.0,997155.0,-1.0,-1.0,1031780.0
216,179.6,180.1198065042322,1.0,1.0,990695.0,1.0,0.0,997155.0,-1.0,-1.0,1031650.0
217,179.3,179.66946683944556,1.0,1.0,990070.0,1.0,0.0,997155.0,-1.0,-1.0,1031025.0
218,178.62,179.4689278515381,1.0,1.0,990085.0,1.0,0.0,997155.0,-1.0,-1.0,1031325.0
219,179.0,179.32101936854883,1.0,1.0,989510.0,1.0,0.0,997155.0,-1.0,-1.0,1030925.0
220,177.68,178.17801719962526,1.0,1.0,989995.0,1.0,0.0,997155.0,-1.0,-1.0,1031325.0
221,179.0,178.7187425303705,-1.0,-1.0,989675.0,-1.0,-1.0,996835.0,-1.0,-1.0,1031820.0
222,179.74,179.30937914551063,-1.0,-1.0,990120.0,-1.0,0.0,996835.0,-1.0,-1.0,1031425.0
223,179.0,178.68094623572617,-1.0,-1.0,990250.0,-1.0,0.0,996835.0,-1.0,-1.0,1031370.0
224,178.87,178.92605912571582,1.0,1.0,991755.0,1.0,1.0,998340.0,-1.0,-1.0,1032940.0
225,181.99,180.79812636167466,-1.0,-1.0,992400.0,-1.0,-1.0,998985.0,-1.0,-1.0,1032350.0
226,181.0,180.50422009299564,-1.0,-1.0,991575.0,-1.0,0.0,998985.0,-1.0,-1.0,1033325.0
227,182.87,181.80715082258186,-1.0,-1.0,991550.0,-1.0,0.0,998985.0,-1.0,-1.0,1033460.0
228,183.0,182.91263432313062,-1.0,-1.0,991875.0,-1.0,0.0,998985.0,-1.0,-1.0,1033175.0
229,182.37,182.25600744859676,-1.0,-1.0,995435.0,-1.0,0.0,998985.0,-1.0,-1.0,1029625.0
230,175.99,182.49153878323304,1.0,1.0,995970.0,1.0,1.0,999520.0,-1.0,-1.0,1030530.0
231,177.0,175.22093437183426,-1.0,-1.0,996970.0,-1.0,-1.0,1000520.0,-1.0,-1.0,1029500.0
232,176.16,176.16412106036296,1.0,1.0,994600.0,1.0,1.0,998150.0,-1.0,-1.0,1027710.0
233,171.0,174.4382165653412,1.0,1.0,995645.0,1.0,0.0,998150.0,-1.0,-1.0,1028545.0
